id,attr_1,attr_2,attr_3,attr_4,attr_5,attr_6
uzuf5,3,1,17,3,1,59
h39jg,3,9,2,12,31,73
krhet,5,10,11,11,14,12
kczf3,5,1,21,3,1,3
b0r1a,5,7,66,11,31,75
t9c14,3,1,80,11,1,34
nvulb,3,2,52,11,8,77
mwzpw,11,27,38,12,14,73
zmpl4,11,16,87,5,24,8
e0ku1,3,1,5,3,1,91
zdlru,12,31,21,3,29,88
ri9hw,5,25,43,3,22,69
fiu2u,11,1,16,11,1,58
rozw2,12,1,48,11,1,10
tu2u1,11,4,78,11,19,80
jdmei,12,17,81,3,17,24
ikons,5,1,9,11,1,38
vw3ys,12,28,49,3,18,66
ebnst,3,1,57,12,1,59
a5c7t,11,19,39,5,18,96
ros1v,11,2,21,3,13,83
xq5hu,5,19,17,3,21,91
nxury,11,27,82,5,25,50
dz840,5,1,8,11,1,46
oah8p,3,20,14,5,11,83
gaebb,11,14,6,12,28,57
v63cm,11,18,68,12,28,74
p7j2r,3,26,18,12,3,46
iuhkb,3,16,12,5,11,19
qdy9h,5,5,49,11,19,55
r2ap0,11,1,9,11,1,5
rm8ce,12,19,55,12,8,13
jrqbh,12,6,84,12,2,71
ozbqo,12,1,98,3,12,98
bb2el,3,1,10,5,1,63
kkdyv,11,23,93,11,10,16
ji4dm,3,1,24,12,1,77
ncqfg,12,5,72,3,22,58
y99c8,11,21,75,12,9,45
ym2dc,3,10,93,12,8,80
mtkmh,12,4,58,5,3,96
qmemp,3,17,29,12,11,95
cfpz8,11,1,55,11,1,34
mg0wc,3,23,97,12,10,91
rgbj8,11,5,64,11,18,90
rn2vb,11,4,65,11,26,51
zf4tr,12,10,43,11,26,72
mo0hv,5,28,37,12,25,62
xty9l,12,1,67,11,1,68
z7sih,3,1,29,3,1,27
o3owd,3,20,48,5,28,39
c2xgc,3,3,24,5,16,47
jtkud,3,19,18,12,14,95
t0x8q,11,30,71,12,28,83
pqnwr,11,15,50,12,25,54
y2fe6,12,7,39,12,29,44
v9mxy,3,26,54,3,22,6
bt86e,3,4,57,11,8,87
wqy4a,3,13,24,12,18,30
jp8qm,3,1,41,12,6,81
vckvl,12,2,29,3,23,35
nh9bk,11,12,39,3,8,40
lu606,3,9,37,11,25,71
bp4lf,12,17,77,3,7,84
d6xcn,12,4,49,11,22,43
pgryf,12,1,47,11,1,47
o69xj,3,1,11,5,1,17
oi4pc,5,28,98,12,11,2
eo2x2,11,12,6,5,23,63
nyjuu,11,10,45,3,28,16
b9klh,11,8,56,5,4,55
dnwp0,3,4,29,11,12,76
mcz64,3,30,83,11,3,75
qqz1n,12,9,91,3,13,45
rn938,5,26,29,11,12,48
z5qo8,12,8,24,3,28,89
wr9w0,3,1,35,11,1,74
jz3fe,11,27,1,12,8,10
ukjre,12,15,64,11,23,29
ctf01,3,4,52,5,15,51
w8hcn,3,1,37,3,1,71
k0phc,3,26,50,3,7,96
tf534,11,17,49,11,22,69
zsayv,5,8,96,3,2,62
swviw,3,20,26,3,29,3
x8jjg,3,11,27,11,7,69
awdvz,5,26,82,3,6,41
ekriw,11,15,1,11,9,46
qguux,12,9,90,12,10,68
o6zjh,5,14,42,5,25,6
dpyoj,12,18,53,11,22,35
sza43,11,12,41,11,19,87
bd1t1,12,1,20,12,1,91
z1n31,3,19,51,11,15,57
ezkik,12,1,11,12,1,6
lln10,12,26,48,12,29,34
vmi0c,11,30,58,5,13,24
nujvq,12,1,96,3,25,95
tclsz,11,1,77,11,1,25
s7czx,3,2,64,11,30,29
yalfg,3,2,85,12,15,93
mlivh,12,28,35,12,25,73
zf4sk,5,29,54,3,5,67
n33ak,12,6,24,3,1,51
xtaya,11,27,22,11,9,39
t9nt4,5,22,96,12,15,9
dtv8y,3,18,95,11,23,30
qooxj,5,11,12,5,26,18
waxxu,3,1,70,12,1,45
dlbgt,12,5,47,11,30,25
vbwgn,3,20,52,3,12,28
c9mo2,3,27,35,11,10,63
wcnrk,12,1,28,5,1,25
u92c9,5,20,48,3,31,99
dhg0n,12,19,87,5,17,53
sbazr,12,17,34,12,6,57
dqkh3,11,17,16,3,22,51
op6ue,3,1,51,3,1,1
yp5ch,5,1,69,5,1,54
fslw5,3,7,19,12,9,63
ezn3a,3,28,4,12,5,62
k1bgm,3,12,20,11,15,31
je5xd,3,24,50,11,2,72
bzh08,3,31,39,12,12,67
lcow5,3,1,3,3,1,84
gxnbs,3,7,79,5,4,70
dp8s8,3,8,54,3,8,61
hufcy,5,28,27,12,5,52
agpyf,12,8,47,12,31,60
xeals,5,5,48,3,25,67
zodu7,3,1,75,11,1,44
jiibp,12,9,75,11,12,11
wf0us,11,7,97,3,19,14
ldnuw,11,24,28,3,17,90
x8h6r,3,4,18,5,4,17
ep8k2,11,4,18,3,19,46
humj6,3,22,53,3,6,4
t251j,5,1,56,12,1,36
f671r,3,19,18,3,17,98
vs7mt,12,28,10,3,15,71
l6duf,3,12,16,5,14,56
k4rua,11,1,1,12,1,8
lb18l,12,12,43,3,31,76
uvbex,12,4,33,11,3,6
aivze,3,25,71,5,10,81
tygp0,3,8,46,12,19,74
uqf0a,11,29,63,11,26,43
v995k,12,22,32,5,12,48
zb6zo,3,13,3,3,3,29
ui8op,11,1,86,3,11,76
n20o8,12,3,98,12,17,52
mqkhb,3,11,78,3,28,77
kcq91,3,5,48,12,5,97
vguo4,3,1,99,3,1,23
kjjyc,3,1,97,3,1,74
okhpi,12,10,47,3,4,34
c3mml,5,1,32,3,1,95
ipi0e,11,24,62,3,6,82
gdsrz,12,19,79,11,26,70
ld6vj,3,7,43,3,1,83
n1x6s,3,1,63,5,1,63
sy53z,12,28,18,5,27,31
lngbj,12,29,24,3,22,42
dqwg1,12,3,18,3,15,18
o5c4x,3,12,21,3,3,67
bcg07,11,5,24,11,28,64
w08n4,12,30,55,12,16,43
u44a8,3,1,24,11,1,54
fsk1s,11,13,79,12,13,4
gne2q,12,19,72,12,26,85
awdjy,11,11,57,12,17,95
jkck4,3,1,19,5,1,4
a84n8,3,1,42,12,1,12
y4am3,12,1,90,12,1,87
dgk8h,12,14,55,12,30,99
r01je,3,2,51,12,19,51
od5i5,11,16,13,3,26,4
gsuxp,3,11,69,12,7,51
v86xz,3,14,12,3,19,78
czbjo,3,1,56,12,1,89
xepx4,5,7,23,11,27,60
t05yt,12,17,15,5,17,18
qve3v,5,1,95,3,1,20
w0q2p,5,1,36,5,1,37
k49g9,5,8,74,12,9,82
h2ot7,11,25,76,3,30,75
esiwg,11,1,54,11,1,11
yoxvs,5,16,52,12,8,33
kf0id,11,1,42,11,1,85
vkrcy,12,1,76,12,1,6
iysqk,12,6,29,5,17,43
yqsvv,3,14,10,11,27,44
wjtnu,11,21,11,12,10,38
iypml,5,22,43,12,6,71
m5c3b,3,1,92,11,1,22
uwtz4,3,23,99,5,9,78
f32vt,11,1,15,11,30,82
ayxs9,5,14,59,3,23,5
hl8z9,3,13,51,11,29,40
pianw,5,16,81,11,31,76
d70id,3,25,1,12,8,39
iunnf,12,30,95,12,4,94
xtnfp,12,1,91,12,1,22
bdgwr,12,2,40,3,28,76
bdgb7,5,21,75,5,18,93
lpgms,3,1,41,11,1,37
abmqp,12,17,15,3,5,30
a9og9,12,16,87,11,13,52
e8x3b,5,30,73,12,7,14
cv4at,11,6,13,3,23,23
vfexq,3,14,92,3,30,64
dpelu,5,1,84,11,1,67
npn8c,3,31,60,3,23,64
soxvi,11,18,45,5,28,27
qu1s6,12,23,16,3,12,35
ryixl,3,29,98,11,23,49
jjb1r,5,26,99,5,16,86
x34jd,5,11,76,5,24,16
b0gy0,12,1,16,5,1,84
czwhh,5,8,44,3,11,59
wxgrc,11,1,6,5,14,62
bjakp,3,1,48,11,1,89
edd1k,5,19,6,12,31,99
ep5bb,5,1,85,3,1,20
an28n,3,26,3,11,20,56
dkot9,5,13,68,12,30,85
oiu5b,12,15,72,12,29,1
rw2mt,5,24,13,12,28,84
c41wf,12,19,48,12,12,44
yhjy6,11,1,96,5,1,50
csp8s,11,5,88,11,4,50
ryx4t,12,9,52,3,7,17
un1ci,3,14,36,3,27,95
ne75b,3,12,75,12,20,9
mir89,11,15,65,11,19,6
cvxlr,12,1,71,11,30,72
g78tc,5,28,54,11,11,2
wlpk6,11,20,81,12,6,18
jsy2n,12,19,84,11,22,12
a39m1,11,23,2,11,24,44
su9yv,3,30,9,3,25,62
r3a58,11,21,51,5,23,22
b23mt,11,9,63,3,19,17
bffq5,11,2,15,12,17,56
dvw8a,3,5,82,12,24,97
bbrg9,3,27,77,12,25,81
qlvaz,11,20,84,11,26,2
d9xqs,12,17,23,12,18,25
ppyfh,5,30,37,12,15,33
eum56,5,1,46,12,1,49
z7jkp,5,19,17,3,18,18
s2dz7,12,1,46,12,11,4
j5jou,5,20,20,12,22,63
llomm,11,22,66,11,19,77
bmgq9,12,21,73,12,31,97
bjkio,11,1,87,3,1,44
ncgkw,3,8,25,12,18,16
amdtx,12,7,82,3,6,24
qwshx,12,7,42,11,13,71
j4a0y,3,17,58,3,11,59
dkbs7,5,28,92,12,24,17
n12oe,12,30,76,11,16,3
ouuu8,5,5,18,5,17,41
t1i1c,3,7,65,11,13,71
fnpoe,11,18,39,3,30,91
oj1a6,5,1,32,3,1,98
v3qh9,3,1,82,12,1,9
h8g37,12,1,75,12,17,59
v4lw6,11,13,38,11,6,48
sv6gm,11,25,34,3,10,65
l8a4k,12,1,45,5,1,29
wfpo9,11,7,69,11,26,98
zmylw,12,31,43,5,2,69
g2xwo,11,7,91,3,30,55
z0ylk,12,14,36,11,14,5
ab1ax,12,27,15,11,18,51
do0df,11,28,80,5,10,35
b1t7g,12,29,40,3,14,74
jalg2,12,1,4,11,1,27
yup8b,11,1,54,3,1,68
p26ad,12,1,52,11,1,34
qgrpr,5,11,20,5,11,34
c2o9a,5,6,14,11,27,80
ngjdf,12,24,10,5,31,72
jdfoe,12,1,42,12,1,45
mr3rd,5,9,76,5,4,98
gsl4u,11,21,68,11,31,23
fjbps,12,9,11,12,28,15
ycq04,5,25,52,11,27,54
ozejc,12,3,34,11,11,34
ktfdr,3,1,52,3,1,72
bydgw,12,1,99,5,1,28
tt2ct,5,5,99,11,25,89
mrmxq,3,7,44,12,31,44
k7i24,11,21,50,11,3,17
r7ln4,11,21,5,11,4,64
dz8mj,11,1,55,11,20,75
ny474,11,1,1,3,25,30
w9wa4,3,6,64,11,12,78
mkp0v,11,24,87,3,14,71
axoj9,12,1,19,11,1,71
fytli,5,5,72,11,10,64
bxy21,11,1,50,3,1,56
ns5va,11,1,3,12,1,9
je05t,12,1,8,11,1,19
d802s,12,13,90,3,5,68
ryl7b,3,21,21,12,22,61
ealhx,12,10,85,5,19,39
izah7,11,2,92,11,4,35
zxonc,5,20,98,5,9,73
bp5tg,12,1,28,12,28,6
g9cac,3,7,96,12,1,6
idt3k,5,5,1,5,16,48
ny4wt,3,2,7,11,4,64
gbk6v,11,26,48,3,28,5
zq7x5,12,21,10,3,24,13
aee55,3,13,52,3,9,88
ylnin,11,25,53,11,28,56
nas11,3,1,14,12,1,58
aspex,5,26,60,12,1,15
dqgrk,12,18,48,11,31,5
cd84p,3,27,69,5,1,52
h60oc,5,2,38,3,28,29
i9b7b,11,12,2,5,9,13
q3z1c,5,14,27,12,6,87
i6v4j,12,20,26,12,5,15
srfyy,3,12,19,11,9,57
hetv6,3,1,98,3,1,39
gd0wl,12,17,75,11,28,16
hgedw,11,4,13,5,25,42
izm7f,5,28,36,12,4,61
vfu0x,5,1,61,5,1,90
g9knz,3,12,91,11,28,32
hjc00,3,23,95,11,13,15
yhddy,12,5,13,12,10,30
qcpaf,11,17,21,11,21,26
e5a64,3,26,54,3,11,93
wx52n,3,1,73,3,1,29
eqx35,11,15,66,12,8,67
ekdss,11,21,4,12,6,86
l5plh,3,30,61,11,28,16
rcjn7,3,26,76,12,16,38
e1zaw,11,27,43,11,30,58
tcxoo,12,1,28,11,1,75
en2b0,3,10,18,12,15,45
ukpyf,5,1,77,12,1,61
cfdi2,11,1,30,11,1,74
mezsq,3,15,52,12,21,68
q3eb1,11,1,13,12,1,34
gemz1,3,1,88,5,1,8
pyzn7,11,15,23,3,4,56
ric4x,3,3,51,11,30,23
qs20k,12,14,49,12,3,14
kb0zk,5,6,95,11,7,49
umwcy,3,13,86,11,18,51
tg6f8,5,16,92,3,21,7
iq92y,12,29,67,11,28,74
tguhy,11,1,76,3,1,34
xn0l3,12,18,52,11,19,41
vrk9z,12,9,1,11,7,37
thg3d,12,18,49,12,4,74
te2eu,12,23,49,5,22,8
u6r8o,11,19,86,12,3,65
h0jnv,11,25,86,5,8,25
sndmz,5,31,10,12,30,58
fqrgw,12,3,22,3,1,71
jrbxn,12,1,64,3,1,33
ydosu,3,2,45,11,15,64
hu6rz,3,19,77,11,21,77
vy361,11,11,17,5,24,10
k9h0s,3,14,72,3,6,71
fk09t,12,16,18,12,15,5
c18as,3,18,96,3,3,90
o9tfe,12,1,29,3,1,50
lkcfc,3,27,73,12,7,33
noffy,3,1,29,3,29,75
begrd,3,29,36,3,25,74
gaw24,12,29,45,3,7,48
aabcs,11,13,53,11,21,6
h1g56,11,1,64,12,26,37
y4plx,12,12,31,3,21,63
d7pr3,12,20,37,3,31,19
r5r88,5,1,96,11,1,3
awm6z,3,2,4,3,8,24
omdvf,12,1,38,5,1,25
xlt4j,3,18,76,3,8,92
i2cyi,3,27,1,11,27,15
fxjqw,12,9,10,5,10,5
ocf57,11,19,67,3,30,36
htkj8,12,7,58,3,18,71
x1pq0,12,10,47,3,4,91
wpy1k,11,1,3,11,1,92
q1p9i,11,27,24,5,4,91
qo5u5,11,26,42,12,27,86
pem7o,3,25,90,5,11,86
tkk6k,11,22,6,12,28,76
led9x,11,10,66,12,19,91
z81rm,12,1,10,3,1,16
iisba,12,1,42,3,1,55
a4wzl,11,30,82,3,28,16
sufsa,11,1,80,3,13,43
rtpny,5,1,29,11,1,22
zviag,3,1,7,12,9,69
k5wyv,11,1,83,3,1,70
l3kp4,11,1,39,3,1,3
oev33,12,26,21,12,20,64
km7jy,3,6,73,5,7,90
uhksy,3,31,93,12,8,43
lkpng,12,24,27,3,14,60
uugsf,11,1,85,3,1,12
luq9v,3,7,84,11,12,2
fw9ky,3,28,57,3,12,22
zjib4,12,10,5,5,8,76
ns9co,11,22,44,11,9,43
s9510,12,14,36,5,30,17
phlya,3,16,13,5,1,4
j8z58,5,3,69,12,5,46
zxef6,12,8,79,11,2,52
jqhet,3,10,88,11,1,19
zutoh,3,1,58,11,1,47
leagg,3,1,29,12,1,61
afotg,3,1,90,11,1,55
atyor,5,3,1,3,3,23
zvmmi,12,3,66,3,29,18
nxxu6,12,7,38,11,1,69
khxjo,11,20,65,3,9,7
vkbs2,11,6,42,3,22,43
q9szc,3,19,14,11,11,21
ra0ri,3,13,17,11,10,88
rrkix,3,1,98,12,1,44
fxg5l,12,21,80,3,25,29
cwzsl,3,10,63,11,14,45
s7dmd,11,6,14,3,1,77
avtq9,5,18,54,12,9,10
s1s19,3,6,13,12,18,9
dx6s5,11,12,4,3,10,44
gkq0u,11,30,38,5,9,1
smwea,11,28,95,3,23,72
qtba8,5,7,35,3,1,51
unpn4,5,15,57,11,20,88
poe1j,12,17,8,11,23,57
blb51,11,9,99,3,6,33
vcj82,12,3,72,12,13,8
fm2md,11,1,20,11,1,49
dtk9t,11,15,86,11,7,10
wj352,3,15,20,3,18,77
f9tnz,12,31,30,12,8,79
nd73o,3,1,97,12,1,67
mmeqe,11,1,86,11,1,20
ufnye,11,16,20,12,15,66
bf56t,3,29,66,12,29,1
ci1f9,3,13,57,12,4,23
kcon2,11,21,13,12,24,2
m90gj,12,28,46,11,10,74
uaeia,11,19,14,5,4,34
pi3h9,3,1,91,5,1,71
dinwt,5,31,43,12,28,26
zghi1,3,6,82,12,19,32
lyaje,11,12,64,12,4,11
z07bk,3,1,16,3,1,69
z8tqq,12,19,15,3,17,51
bggnz,3,21,31,11,4,89
n06uu,3,26,16,12,29,24
kkjy4,11,11,90,12,2,84
m3kr3,12,27,65,3,23,46
ii4j4,3,2,90,3,18,52
o4zi8,3,26,94,11,25,32
m26w7,5,15,92,3,12,13
efpbi,12,1,96,5,1,93
ha9ff,11,1,92,11,1,51
dcu8y,11,22,56,3,9,38
v3mfk,5,1,54,3,1,33
r0frb,12,1,42,12,1,34
kd9op,11,7,92,5,9,24
kkkyg,3,11,22,5,22,56
csibs,11,4,27,3,23,60
hgi3j,5,7,88,12,11,76
yx9ov,5,6,6,3,2,23
add01,12,2,99,3,22,73
djcll,12,7,45,3,27,1
vmm6y,5,4,84,12,5,88
nfc7u,12,27,83,11,9,99
ahthm,3,21,51,5,25,52
mnrzq,12,15,61,3,6,73
tf9ky,12,29,37,5,10,85
iokv2,3,5,16,11,30,23
jrqud,5,26,59,5,19,31
qgfmu,12,6,42,3,7,40
ptfy3,11,23,16,11,21,32
x3fln,12,2,92,3,18,74
geu69,11,19,5,11,12,2
hrb3w,3,17,55,11,24,55
e3rxq,11,1,89,11,1,90
rii1a,5,28,17,3,11,45
n4311,3,20,41,11,28,93
j4ert,12,20,1,12,25,47
srm5d,3,10,47,5,15,16
jnqga,11,7,56,3,27,52
f3qbf,11,5,95,11,15,30
ojmkn,5,16,89,3,28,39
lic9w,3,8,70,3,7,90
khsox,11,5,49,5,1,16
ls3fl,5,1,52,11,1,8
xusn1,11,1,90,12,1,8
fnmrt,5,10,19,3,19,58
hgujj,5,6,70,12,22,90
oxt7i,12,1,75,5,1,56
bsfn2,5,16,33,3,4,79
ds5x2,11,18,30,11,17,77
oew5c,11,28,75,12,15,73
net18,5,19,95,12,8,7
qv6r3,3,21,86,12,14,79
ceyks,3,7,21,12,5,17
w5pcv,3,16,78,5,15,19
mbrgo,11,11,93,3,25,82
eyvi7,3,31,30,11,22,47
ighxe,3,6,45,11,31,60
f9fnz,5,1,40,11,1,33
l15s1,3,28,24,3,30,23
myogu,12,1,84,3,1,66
l2buq,11,29,80,11,6,42
l6022,12,11,27,3,23,2
xmwi3,12,18,19,5,24,42
ymm2d,3,1,28,3,18,28
m3sa9,3,1,36,12,1,71
z4655,11,1,14,12,1,96
vcvt8,5,14,31,11,7,69
vkuip,12,19,55,12,11,24
fgxet,11,17,81,12,27,19
lxzfn,11,1,97,12,10,80
jo9j7,3,11,6,3,4,58
ci21b,12,1,25,11,1,93
bvjb7,11,10,69,3,7,81
q13wj,11,1,83,5,1,12
kwuxa,5,3,69,3,20,63
vr3pr,3,30,67,12,8,9
r6rqf,11,17,3,12,12,79
cpb47,12,1,22,5,1,39
vs0vj,11,3,46,3,1,36
mha0w,12,17,99,11,8,29
og5cq,5,25,86,12,10,77
zaxr8,12,1,22,5,1,10
qwrp3,12,17,25,3,6,21
a3m7a,3,11,76,12,29,25
e44n8,12,23,35,3,22,9
lrcmx,3,30,44,3,30,75
arz45,3,5,92,11,9,18
exyg3,11,1,71,12,1,39
uu0pn,11,12,33,3,29,62
d0eh6,11,12,95,11,16,66
er8ta,5,2,59,3,10,77
nxz3d,5,1,55,11,1,65
cuzch,11,1,30,3,1,93
g59h0,5,9,58,11,14,14
yvzxh,3,12,25,5,25,43
qailu,5,22,11,12,4,95
zof9l,5,19,14,12,30,19
jq6xq,11,16,92,11,24,12
qem94,11,1,13,12,1,8
gnyiq,12,25,40,11,30,31
ju1nh,11,4,73,5,26,22
ejdnk,11,27,76,11,31,66
v9lx6,3,5,49,3,23,82
ee8vb,12,13,24,11,25,9
fa6q3,11,1,29,11,13,44
mig4r,12,28,63,5,15,88
ldrkh,5,22,82,5,29,87
iynkf,5,29,71,12,16,62
j3u6m,12,29,26,5,23,7
haqmr,12,26,88,3,27,48
xrs2g,3,24,38,3,1,95
p9atu,11,23,97,3,19,64
x2kzc,12,24,3,12,1,82
zpn89,12,31,53,5,23,67
q5wb0,3,17,60,5,13,41
vh4ny,3,29,61,12,20,30
cupx5,12,20,70,5,22,1
y0kgj,3,6,72,5,28,75
msj2m,11,1,25,12,1,74
sh10d,5,26,37,12,4,99
gssnv,3,10,25,12,25,92
cs7en,12,6,50,5,2,81
xor0y,3,1,43,12,1,37
l7fjo,12,26,3,12,14,69
d0bia,12,11,2,3,6,42
rcpj3,12,31,7,12,13,17
bdnct,5,23,60,11,28,3
lxqep,5,4,24,12,11,91
s4wu8,11,29,57,11,12,64
shtl4,5,23,2,3,8,4
l1m4k,5,6,62,11,14,59
jpcpv,3,1,50,3,1,69
vx00w,12,7,61,12,30,31
eo4lh,12,1,25,3,1,27
bkxxr,5,1,83,3,1,89
e6ler,11,15,33,12,27,15
ukzs6,11,3,17,11,10,41
m1vpx,3,1,34,11,1,16
am7v0,5,25,2,12,8,49
ehhr1,12,26,54,11,12,72
a6ede,3,1,82,12,1,49
vd8fe,5,1,28,12,10,84
ll36y,12,6,26,11,4,74
bv1du,12,18,48,3,7,59
fc1r8,11,9,34,3,26,1
qv0cl,3,12,33,12,21,75
pq6yr,5,1,64,11,1,2
vxfy6,12,31,50,3,11,58
amo8i,3,2,15,11,8,4
byxh9,12,13,7,11,29,46
a84xj,12,17,47,11,15,6
kazzj,3,23,48,12,5,74
ses9f,3,24,30,5,25,86
rlkg9,5,1,58,3,1,58
f4qn0,11,13,21,5,22,47
r9p5a,3,18,63,5,19,56
rwxpp,12,17,5,12,12,71
efjxh,3,16,13,3,1,28
tkrd6,12,21,37,12,20,30
k6mku,5,27,32,12,23,98
b5bb0,3,1,71,12,21,98
kz2vn,11,7,65,12,31,33
ubpdc,12,12,26,11,15,39
su71t,12,1,40,12,1,81
ghfd0,12,23,18,12,27,51
t32ah,3,1,75,12,1,90
krqep,3,11,48,5,17,25
lvnt5,11,31,57,3,22,55
cfz15,3,2,16,5,12,41
zjtp3,11,5,87,5,15,29
vgikk,3,1,14,12,1,71
f4ryr,12,18,22,3,17,80
o1biv,11,2,69,5,9,69
uja1g,11,27,43,12,16,64
n4ls4,11,10,2,11,22,26
fmhoo,11,31,58,11,3,25
zvx8f,11,4,90,12,29,54
ghcca,11,13,83,3,20,15
im8bb,3,14,67,3,27,32
jlxxa,3,25,67,11,7,23
xa33y,11,12,35,12,19,9
nf907,5,6,33,3,12,39
sw8ec,11,20,20,3,17,1
x8vv0,11,22,28,11,5,32
y7ejh,11,11,28,3,29,25
wjou4,11,13,44,5,25,11
xi3u3,3,29,29,11,25,8
y2j21,11,1,95,3,1,73
zud88,3,1,24,11,1,12
qmrpz,11,23,20,11,29,71
dl9do,5,12,62,3,17,4
cqkql,12,1,62,3,1,71
umdoy,3,1,88,11,15,26
i7925,11,4,61,3,27,93
um85h,11,1,94,12,1,13
y0clj,12,1,48,3,1,39
q2vk0,12,31,23,11,20,71
td25b,5,22,74,12,4,80
h0vij,12,21,44,12,9,88
lhjl2,12,1,22,5,1,61
zk6tv,11,1,2,12,1,72
v6apl,5,19,40,3,17,24
f278w,5,31,95,12,29,70
yj4ur,12,1,10,11,1,18
mqq5t,3,6,58,12,18,99
v54j8,12,1,48,12,1,93
nmt78,5,1,18,12,1,38
pf2s1,12,1,40,11,6,2
e58df,11,1,64,12,1,87
ixbwe,11,3,43,11,20,68
szu74,3,1,4,3,1,37
vlbus,3,17,9,3,30,79
cpwzv,11,8,1,3,28,3
b8ksi,11,22,51,11,19,13
syawf,12,15,47,3,9,81
laaxr,5,9,37,12,21,7
wuxgv,3,7,13,3,14,37
bqzrc,12,13,9,12,18,96
jfuah,11,7,47,3,4,51
a7x33,3,5,12,11,8,44
s2wto,11,14,78,3,19,62
wynxu,11,27,9,12,17,30
el67x,3,1,44,3,1,81
ind02,12,16,68,12,23,92
vvb4n,11,30,40,12,19,67
bcnsw,11,5,93,11,22,61
y84hj,12,1,35,12,1,20
x9w4u,12,23,66,5,5,91
dlv2a,12,25,56,5,1,74
dds97,12,1,96,11,1,7
rnin2,12,26,64,11,30,44
azzx9,3,2,19,12,1,65
n5l24,12,18,2,11,7,83
b7jnq,11,19,25,11,11,28
nsr7z,3,23,51,11,2,55
joidm,11,1,58,3,1,57
s693x,11,1,52,5,1,32
wbtbb,3,1,26,3,1,33
ml9r1,12,11,53,5,26,74
q297m,12,25,85,5,13,42
p6eu0,11,18,11,11,5,90
z1045,12,28,41,11,5,76
gxaev,3,1,40,3,1,44
gzfdr,5,1,56,3,1,25
j69g0,11,17,89,12,9,94
t1j3w,11,30,60,11,2,38
w7riq,3,1,61,3,10,61
hmcdx,11,29,58,12,11,15
cwwid,3,4,13,12,9,53
p4e6q,5,13,19,11,29,73
prt0g,3,1,93,12,23,91
je3dz,5,6,65,3,5,75
ecix2,3,1,9,3,1,88
wdval,12,16,77,11,29,91
w43ss,3,1,59,3,1,78
thpda,5,11,82,11,21,17
pi3oj,12,26,9,3,31,49
gdkp4,3,15,90,11,19,26
kfdc8,5,8,61,11,30,52
b8llm,11,28,97,12,28,90
gdz9m,12,20,87,3,11,47
lijif,12,1,92,12,1,63
l0ls9,11,6,30,12,2,80
coeg7,3,26,50,11,30,15
yzudy,3,25,9,3,25,39
ge2mb,11,22,43,12,9,72
n59z1,5,31,96,12,8,34
mq2hp,3,22,11,11,18,24
m6vwu,3,1,15,11,1,29
vfdbg,12,2,66,3,6,86
tf1wr,3,2,62,12,16,30
wngy4,12,27,87,12,27,29
jugq7,12,1,80,3,24,27
g01j3,12,30,8,11,31,76
l0s9s,12,16,55,12,23,94
ohef7,12,22,14,12,29,31
iuoku,12,1,47,12,1,29
l6czh,3,26,14,3,14,58
do5zp,12,26,12,5,22,66
p6nlj,3,10,29,12,14,12
s38ly,12,24,43,11,6,44
nvrq8,12,1,65,12,4,29
w5ut7,12,26,49,12,13,18
zif1o,11,13,24,12,22,16
xbt8g,11,1,46,11,18,3
c6w90,12,8,81,11,29,62
w8iqo,12,1,45,11,1,50
iw7vv,11,2,29,12,25,92
l2ze2,12,15,86,11,17,64
kuhhz,3,28,37,11,7,20
h25j8,5,1,69,3,1,41
widhh,3,1,10,3,1,41
qcaao,11,7,21,12,27,9
zckqv,3,29,35,11,17,87
ygi2z,3,17,31,12,12,84
ko8sd,5,2,76,3,12,7
sdhkg,3,17,15,3,10,37
n09su,3,1,35,11,4,69
m6lun,12,22,87,3,4,47
t73w1,11,11,83,3,1,84
r3ptk,12,23,23,5,31,78
xf8f4,3,19,24,3,16,48
uua2s,11,20,44,3,14,21
qgb0t,11,20,64,3,4,73
xq77a,3,11,70,3,14,94
cjlos,3,24,10,3,24,70
tzjle,3,16,63,11,18,83
kajwn,3,1,84,12,1,16
lil89,11,24,65,5,10,5
uv88w,3,25,8,5,10,75
h2bgc,3,2,70,12,19,68
w0zry,12,8,15,5,24,81
m6gz5,3,1,33,12,1,47
j0z0h,5,1,25,11,14,87
ih6j0,5,12,76,12,1,92
kq6k6,5,5,18,11,4,90
y5axt,11,1,56,11,1,55
cqdxm,11,2,47,5,24,98
ntk4s,12,5,21,3,22,67
vq4df,3,1,76,11,1,1
mgqe4,12,1,3,12,1,14
oyqmj,11,3,6,12,23,50
j9upa,12,13,44,12,30,63
diqqs,11,1,78,11,1,74
qdhoj,11,12,88,3,8,77
xed56,11,31,36,5,13,54
n3bz6,5,16,74,12,2,70
le8zu,11,1,39,5,1,85
df68s,12,1,91,12,15,23
ytbci,11,1,84,11,3,46
wc8p3,11,27,51,11,31,13
xm9up,12,1,15,12,1,9
jaikj,11,18,47,5,3,14
qk3zh,3,1,52,11,1,14
lrv36,12,28,62,12,23,11
gn3hp,3,18,32,3,6,1
fkogv,5,26,66,11,17,73
j4pkj,12,14,40,11,10,71
osehl,5,12,26,5,10,84
dvf6c,12,31,59,12,3,6
s268x,3,19,97,12,31,2
l48k0,12,10,49,3,30,16
wd00r,5,1,33,12,15,83
hfwdd,12,1,6,5,2,85
buxox,12,18,40,12,11,44
